rama_ciencias,codigo_carrera,carrera,entidad,Matricula_Total,Matricula_Mujeres,Matricula_Hombres,Diferencia_Genero,Curso_Academico,Ano_Inicio_Curso
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Sociales y Humanísticas,64102.0,CIENCIAS DE LA INFORMACIÓN,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Naturales y Matemáticas,22900.0,CIENCIAS FARMACÉUTICAS,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
